YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKDAY,23,TRAIN,EW12/DT14,23287,10975
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,NS5,12407,15498
2024-05,WEEKDAY,15,TRAIN,NS5,21032,25837
2024-05,WEEKDAY,11,TRAIN,DT13,9399,14316
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,DT13,5800,7427
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2345,4941
2024-05,WEEKDAY,20,TRAIN,DT27,8217,10498
2024-05,WEEKDAY,20,TRAIN,SW3,822,3703
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,SW3,428,1445
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,12519,9377
2024-05,WEEKDAY,14,TRAIN,EW16/NE3/TE17,29799,35499
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,EW26,12401,20380
2024-05,WEEKDAY,19,TRAIN,EW26,27489,79771
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1581,276
2024-05,WEEKDAY,6,TRAIN,BP3,12531,1198
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,34254,50669
2024-05,WEEKDAY,13,TRAIN,EW12/DT14,63685,67007
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,CG2,6774,10554
2024-05,WEEKDAY,8,TRAIN,CG2,14362,34587
2024-05,WEEKDAY,10,TRAIN,NS4/BP1,29415,22022
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,18329,13628
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,NS5,5421,14336
2024-05,WEEKDAY,22,TRAIN,NS5,8725,30884
2024-05,WEEKDAY,22,TRAIN,SE3,486,4306
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,SE3,292,2013
2024-05,WEEKDAY,7,TRAIN,NS15,38389,73679
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,NS15,5923,5449
2024-05,WEEKDAY,12,TRAIN,EW30,2200,1161
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,EW30,1534,577
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,NE11,8356,7681
2024-05,WEEKDAY,12,TRAIN,NE11,12725,12963
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,PE5,3423,1177
2024-05,WEEKDAY,8,TRAIN,PE5,18750,3335
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,TE19,1851,1545
2024-05,WEEKDAY,14,TRAIN,TE19,5612,6221
2024-05,WEEKDAY,19,TRAIN,TE19,24951,4062
